id,queue_name,entity_id,entity_table,action,simulation_time,simulation_datetime,priority,queue_length_before,queue_length_after,wait_time
60,ProjectQueue,15,Deliverable,exit,308334.63325648685,2020-08-02 02:54:37.995389,,1,0,0.0
61,ProjectQueue,16,Deliverable,entry,325583.11920686427,2020-08-14 02:23:07.152412,,0,1,
62,ProjectQueue,16,Deliverable,exit,325583.11920686427,2020-08-14 02:23:07.152412,,1,0,0.0
63,ProjectQueue,16,Deliverable,entry,325583.11920686427,2020-08-14 02:23:07.152412,,0,1,
64,ProjectQueue,16,Deliverable,exit,325583.11920686427,2020-08-14 02:23:07.152412,,1,0,0.0
65,ProjectQueue,17,Deliverable,entry,329908.1731286159,2020-08-17 02:28:10.387717,,0,1,
66,ProjectQueue,17,Deliverable,exit,329908.1731286159,2020-08-17 02:28:10.387717,,1,0,0.0
67,ProjectQueue,17,Deliverable,entry,329908.1731286159,2020-08-17 02:28:10.387717,,0,1,
68,ProjectQueue,17,Deliverable,exit,329908.1731286159,2020-08-17 02:28:10.387717,,1,0,0.0
69,ProjectQueue,18,Deliverable,entry,346373.69032642286,2020-08-28 12:53:41.419585,,0,1,
70,ProjectQueue,18,Deliverable,exit,346373.69032642286,2020-08-28 12:53:41.419585,,1,0,0.0
71,ProjectQueue,18,Deliverable,entry,346373.69032642286,2020-08-28 12:53:41.419585,,0,1,
72,ProjectQueue,18,Deliverable,exit,346373.69032642286,2020-08-28 12:53:41.419585,,1,0,0.0
73,ProjectQueue,19,Deliverable,entry,352565.39113398263,2020-09-01 20:05:23.468039,,0,1,
74,ProjectQueue,19,Deliverable,exit,352565.39113398263,2020-09-01 20:05:23.468039,,1,0,0.0
75,ProjectQueue,19,Deliverable,entry,352565.39113398263,2020-09-01 20:05:23.468039,,0,1,
76,ProjectQueue,19,Deliverable,exit,352565.39113398263,2020-09-01 20:05:23.468039,,1,0,0.0
77,ProjectQueue,20,Deliverable,entry,358159.8512559321,2020-09-05 17:19:51.075356,,0,1,
78,ProjectQueue,20,Deliverable,exit,358159.8512559321,2020-09-05 17:19:51.075356,,1,0,0.0
79,ProjectQueue,20,Deliverable,entry,358159.8512559321,2020-09-05 17:19:51.075356,,0,1,
80,ProjectQueue,20,Deliverable,exit,358159.8512559321,2020-09-05 17:19:51.075356,,1,0,0.0
81,ProjectQueue,21,Deliverable,entry,361254.9938914237,2020-09-07 20:54:59.633485,,0,1,
82,ProjectQueue,21,Deliverable,exit,361254.9938914237,2020-09-07 20:54:59.633485,,1,0,0.0
83,ProjectQueue,21,Deliverable,entry,361254.9938914237,2020-09-07 20:54:59.633485,,0,1,
84,ProjectQueue,21,Deliverable,exit,361254.9938914237,2020-09-07 20:54:59.633485,,1,0,0.0
85,ProjectQueue,22,Deliverable,entry,361388.3723667614,2020-09-07 23:08:22.342006,,0,1,
86,ProjectQueue,22,Deliverable,exit,361388.3723667614,2020-09-07 23:08:22.342006,,1,0,0.0
87,ProjectQueue,22,Deliverable,entry,361388.3723667614,2020-09-07 23:08:22.342006,,0,1,
88,ProjectQueue,22,Deliverable,exit,361388.3723667614,2020-09-07 23:08:22.342006,,1,0,0.0
89,ProjectQueue,23,Deliverable,entry,376328.31010373763,2020-09-18 08:08:18.606224,,0,1,
90,ProjectQueue,23,Deliverable,exit,376328.31010373763,2020-09-18 08:08:18.606224,,1,0,0.0
91,ProjectQueue,23,Deliverable,entry,376328.31010373763,2020-09-18 08:08:18.606224,,0,1,
92,ProjectQueue,23,Deliverable,exit,376328.31010373763,2020-09-18 08:08:18.606224,,1,0,0.0
93,ProjectQueue,24,Deliverable,entry,386367.03426350787,2020-09-25 07:27:02.055810,,0,1,
94,ProjectQueue,24,Deliverable,exit,386367.03426350787,2020-09-25 07:27:02.055810,,1,0,0.0
95,ProjectQueue,24,Deliverable,entry,386367.03426350787,2020-09-25 07:27:02.055810,,0,1,
96,ProjectQueue,24,Deliverable,exit,386367.03426350787,2020-09-25 07:27:02.055810,,1,0,0.0
97,ProjectQueue,25,Deliverable,entry,397352.8880242431,2020-10-02 22:32:53.281455,,0,1,
98,ProjectQueue,25,Deliverable,exit,397352.8880242431,2020-10-02 22:32:53.281455,,1,0,0.0
99,ProjectQueue,25,Deliverable,entry,397352.8880242431,2020-10-02 22:32:53.281455,,0,1,
100,ProjectQueue,25,Deliverable,exit,397352.8880242431,2020-10-02 22:32:53.281455,,1,0,0.0
101,ProjectQueue,26,Deliverable,entry,397462.1089301788,2020-10-03 00:22:06.535811,,0,1,
102,ProjectQueue,26,Deliverable,exit,397462.1089301788,2020-10-03 00:22:06.535811,,1,0,0.0
103,ProjectQueue,26,Deliverable,entry,397462.1089301788,2020-10-03 00:22:06.535811,,0,1,
104,ProjectQueue,26,Deliverable,exit,397462.1089301788,2020-10-03 00:22:06.535811,,1,0,0.0
105,ProjectQueue,27,Deliverable,entry,398216.5867907844,2020-10-03 12:56:35.207447,,0,1,
106,ProjectQueue,27,Deliverable,exit,398216.5867907844,2020-10-03 12:56:35.207447,,1,0,0.0
107,ProjectQueue,27,Deliverable,entry,398216.5867907844,2020-10-03 12:56:35.207447,,0,1,
108,ProjectQueue,27,Deliverable,exit,398216.5867907844,2020-10-03 12:56:35.207447,,1,0,0.0
109,ProjectQueue,28,Deliverable,entry,412824.13842369296,2020-10-13 16:24:08.305422,,0,1,
110,ProjectQueue,28,Deliverable,exit,412824.13842369296,2020-10-13 16:24:08.305422,,1,0,0.0
111,ProjectQueue,28,Deliverable,entry,412824.13842369296,2020-10-13 16:24:08.305422,,0,1,
112,ProjectQueue,28,Deliverable,exit,412824.13842369296,2020-10-13 16:24:08.305422,,1,0,0.0
113,ProjectQueue,29,Deliverable,entry,417045.4898347514,2020-10-16 14:45:29.390085,,0,1,
114,ProjectQueue,29,Deliverable,exit,417045.4898347514,2020-10-16 14:45:29.390085,,1,0,0.0
115,ProjectQueue,29,Deliverable,entry,417045.4898347514,2020-10-16 14:45:29.390085,,0,1,
116,ProjectQueue,29,Deliverable,exit,417045.4898347514,2020-10-16 14:45:29.390085,,1,0,0.0
117,ProjectQueue,30,Deliverable,entry,423638.32714787964,2020-10-21 04:38:19.628873,,0,1,
118,ProjectQueue,30,Deliverable,exit,423638.32714787964,2020-10-21 04:38:19.628873,,1,0,0.0
119,ProjectQueue,30,Deliverable,entry,423638.32714787964,2020-10-21 04:38:19.628873,,0,1,
120,ProjectQueue,30,Deliverable,exit,423638.32714787964,2020-10-21 04:38:19.628873,,1,0,0.0
121,ProjectQueue,31,Deliverable,entry,424357.49473993503,2020-10-21 16:37:29.684396,,0,1,
